task_idx,class,train_time_s,n_connections,delta_connections,n_dead,n_mature,n_active,n_silent,n_newly_activated,mean_theta,mean_obs_var,mean_seen_acc
5,5,0.6443,15057,20,0,0,794,251,5,0.635406,0.05821398,0.166667
6,6,0.4979,15428,20,0,0,794,236,5,0.672269,0.05517228,0.145714
7,7,0.4718,15868,20,0,0,794,212,7,0.704983,0.05278429,0.131250
8,8,0.4735,16360,19,0,0,794,190,0,0.696313,0.05197269,0.134444
0,0,0.5840,14128,10,0,0,794,422,372,0.629220,0.08732253,1.000000
9,9,0.4826,16908,20,0,0,794,180,0,0.731822,0.05048086,0.100000
0,0,0.4697,14064,10,0,0,794,415,379,0.637477,0.08763940,1.000000
1,1,0.4685,14144,20,0,0,794,372,7,0.639414,0.07217610,0.910000
2,2,0.4676,14284,20,0,0,794,333,24,0.638564,0.06532836,0.403333
3,3,0.4775,14475,20,0,0,794,308,3,0.644255,0.05973517,0.262500
4,4,0.5003,14731,19,0,0,794,280,2,0.631263,0.05567206,0.202000
5,5,0.5139,15041,20,0,0,794,264,5,0.615902,0.05426235,0.190000
6,6,0.4771,15404,20,0,0,794,225,10,0.577968,0.05219023,0.142857
7,7,0.4726,15834,20,0,0,794,204,6,0.595841,0.05026184,0.136250
8,8,0.4682,16330,20,0,0,794,193,1,0.590216,0.04981477,0.153333
9,9,0.4759,16870,20,0,0,794,183,2,0.600653,0.04919756,0.101000
0,0,0.4924,14144,10,0,0,794,423,371,0.626378,0.08564646,1.000000
1,1,0.4676,14223,19,0,0,794,372,9,0.632983,0.07017438,0.895000
2,2,0.4579,14355,20,0,0,794,325,28,0.640912,0.06449535,0.536667
3,3,0.4792,14547,20,0,0,794,299,7,0.603840,0.05984837,0.282500
4,4,0.4602,14806,20,0,0,794,273,2,0.610822,0.05521541,0.286000
5,5,0.5085,15118,20,0,0,794,251,5,0.634666,0.05406908,0.168333
6,6,0.4714,15492,20,0,0,794,237,4,0.625040,0.05118186,0.145714
7,7,0.4655,15922,18,0,0,794,213,12,0.631115,0.04935612,0.131250
8,8,0.5287,16416,20,0,0,794,199,1,0.651600,0.04877248,0.111111
9,9,0.5494,16965,20,0,0,794,182,1,0.673104,0.04835828,0.100000
0,0,0.5606,14074,10,0,0,794,407,387,0.628168,0.08749814,1.000000
1,1,0.5445,14154,20,0,0,794,364,7,0.633080,0.07220764,0.855000
2,2,0.5472,14291,20,0,0,794,325,30,0.660129,0.06570698,0.510000
3,3,0.5440,14486,20,0,0,794,289,4,0.653904,0.06045214,0.270000
4,4,0.5721,14739,20,0,0,794,267,2,0.650036,0.05643047,0.214000
5,5,0.6052,15044,20,0,0,794,254,3,0.667568,0.05405046,0.195000
6,6,0.5421,15419,20,0,0,794,237,2,0.655711,0.05219168,0.145714
7,7,0.4671,15847,20,0,0,794,204,10,0.666512,0.04999943,0.165000
8,8,0.4683,16329,20,0,0,794,184,1,0.655721,0.05070479,0.136667
9,9,0.4700,16882,20,0,0,794,170,2,0.686279,0.04903261,0.100000
0,0,0.4646,14145,10,0,0,794,418,376,0.633854,0.08753804,1.000000
1,1,0.4603,14222,17,0,0,794,377,6,0.656701,0.07143620,0.955000
2,2,0.4590,14351,20,0,0,794,329,29,0.659621,0.06586710,0.426667
3,3,0.4755,14538,20,0,0,794,305,5,0.683209,0.06181842,0.267500
4,4,0.4962,14797,20,0,0,794,271,5,0.672338,0.05743194,0.230000
5,5,0.5011,15108,16,0,0,794,260,6,0.667949,0.05620419,0.198333
6,6,0.4861,15478,20,0,0,794,245,7,0.691032,0.05424739,0.148571
